,word,start,end,category
0,black,0.439,1.439,video
1,holes,1.439,1.77,video
2,are,1.77,2.159,video
3,the,2.159,2.37,video
4,largest,2.37,2.7,video
5,collections,2.7,3.35,video
6,of,3.36,3.629,video
7,pure,3.629,3.99,video
8,violent,3.99,4.65,video
9,energy,4.65,4.859,video
10,in,4.859,5.25,video
11,the,5.25,5.49,video
12,universe,5.49,5.749,video
13,if,5.759,6.69,video
14,you,6.69,6.899,video
15,come,6.899,7.14,video
16,too,7.14,7.319,video
17,close,7.319,7.47,video
18,they'll,7.47,8.01,video
19,devalue,8.01,8.629,video
20,and,8.639,8.79,video
21,add,8.79,9.15,video
22,your,9.15,9.57,video
23,energy,9.57,9.96,video
24,to,9.96,10.11,video
25,their,10.11,10.29,video
26,collection,10.29,10.759,video
27,and,10.769,11.07,video
28,so,11.07,11.79,video
29,the,11.79,12.179,video
30,energy,12.179,12.54,video
31,is,12.54,12.719,video
32,lost,12.719,13.019,video
33,to,13.019,13.259,video
34,us,13.259,13.41,video
35,forever,13.41,13.64,video
36,or,13.65,14.549,video
37,is,14.549,14.82,video
38,it,14.82,15.0,video
39,it,15.0,15.9,video
40,turns,15.9,16.199,video
41,out,16.199,16.379,video
42,there's,16.379,16.83,video
43,a,16.83,16.92,video
44,universe,16.92,17.33,video
45,cheat,17.34,17.699,video
46,code,17.699,17.94,video
47,a,17.94,18.18,video
48,way,18.18,18.99,video
49,of,18.99,19.23,video
50,powering,19.23,19.72,video
51,civilizations,19.73,20.73,video
52,until,20.73,21.119,video
53,the,21.119,21.24,video
54,very,21.24,21.48,video
55,death,21.48,21.779,video
56,of,21.779,21.98,video
57,everything,21.99,22.529,video
58,or,22.529,22.92,video
59,of,22.92,23.279,video
60,constructing,23.279,24.0,video
61,the,24.0,24.14,video
62,largest,24.15,24.689,video
63,bomb,24.689,24.99,video
64,in,24.99,25.35,video
65,the,25.35,25.56,video
66,universe,25.56,26.01,video
67,but,26.01,26.91,video
68,how,26.91,27.22,video
69,didn't,27.23,28.23,video
70,we,28.23,28.349,video
71,learn,28.349,28.529,video
72,that,28.529,28.74,video
73,all,28.74,28.949,video
74,energy,28.949,29.22,video
75,is,29.22,29.509,video
76,trapped,29.519,29.88,video
77,forever,29.88,30.179,video
78,in,30.179,30.539,video
79,black,30.539,30.779,video
80,holes,30.779,31.019,video
81,even,31.019,31.73,video
82,light,31.74,32.0,video
83,this,32.0,33.0,video
84,is,33.0,33.18,video
85,true,33.18,33.39,video
86,everything,33.39,34.35,video
87,you,34.35,34.71,video
88,think,34.71,34.94,video
89,you,34.95,35.07,video
90,know,35.07,35.34,video
91,about,35.34,35.52,video
92,the,35.52,35.82,video
93,wettest,35.82,36.149,video
94,thing,36.149,36.39,video
95,in,36.39,36.54,video
96,the,36.54,36.62,video
97,universe,36.63,36.87,video
98,is,36.87,37.23,video
99,about,37.23,37.59,video
100,to,37.59,37.739,video
101,get,37.739,37.86,video
102,weirder,37.86,38.399,video
103,for,38.399,38.82,video
104,one,38.82,38.99,video
105,simple,39.0,39.329,video
106,reason,39.329,39.889,video
107,black,39.899,40.59,video
108,holes,40.59,40.92,video
109,are,40.92,41.37,video
110,spinning,41.37,51.86,video
111,why,51.86,52.86,video
112,black,52.86,53.24,video
113,hole's,53.25,53.55,video
114,spin,53.55,56.59,video
115,when,56.6,57.6,video
116,ready,57.6,57.96,video
117,ready,57.96,58.44,video
118,massive,58.44,58.98,video
119,stars,58.98,59.28,video
120,die,59.28,59.61,video
121,their,59.61,60.11,video
122,cores,60.12,60.45,video
123,collapse,60.45,60.87,video
124,under,60.87,61.38,video
125,their,61.38,61.5,video
126,own,61.5,61.56,video
127,gravity,61.56,61.7,video
128,into,61.71,62.37,video
129,black,62.37,62.67,video
130,holes,62.67,62.84,video
131,this,62.84,63.84,video
132,means,63.84,64.14,video
133,something,64.14,64.82,video
134,very,64.83,64.86,video
135,big,64.86,65.34,video
136,becomes,65.34,65.94,video
137,very,65.94,66.33,video
138,very,66.33,66.84,video
139,tiny,66.84,67.23,video
140,like,67.23,68.01,video
141,the,68.01,68.3,video
142,tiniest,68.31,68.76,video
143,anything,68.76,69.24,video
144,can,69.24,69.42,video
145,be,69.42,69.57,video
146,in,69.57,69.72,video
147,this,69.72,69.9,video
148,universe,69.9,70.37,video
149,but,70.38,71.37,video
150,stars,71.37,71.76,video
151,are,71.76,72.09,video
152,rotating,72.09,72.72,video
153,and,72.72,72.84,video
154,a,72.84,73.17,video
155,fundamental,73.17,73.88,video
156,property,73.89,74.19,video
157,of,74.19,74.43,video
158,our,74.43,74.58,video
159,universe,74.58,75.03,video
160,is,75.03,75.24,video
161,that,75.24,75.57,video
162,things,75.57,75.86,video
163,that,75.87,76.02,video
164,are,76.02,76.23,video
165,spinning,76.23,76.62,video
166,don't,76.62,77.31,video
167,want,77.31,77.55,video
168,to,77.55,77.7,video
169,stop,77.7,77.96,video
170,spinning,77.97,78.27,video
171,we,78.27,79.17,video
172,call,79.17,79.38,video
173,this,79.38,79.56,video
174,angular,79.56,80.04,video
175,momentum,80.04,80.3,video
176,and,80.31,80.88,video
177,this,80.88,81.78,video
178,angular,81.78,82.29,video
179,momentum,82.29,82.89,video
180,can't,82.89,83.22,video
181,go,83.22,83.46,video
182,away,83.46,83.72,video
183,a,83.73,84.0,video
184,big,84.0,84.93,video
185,thing,84.93,85.29,video
186,that,85.29,85.53,video
187,spins,85.53,85.83,video
188,and,85.83,86.31,video
189,becomes,86.31,86.66,video
190,smaller,86.67,87.119,video
191,spins,87.119,87.9,video
192,faster,87.9,88.619,video
193,so,88.619,89.61,video
194,as,89.61,89.85,video
195,the,89.85,90.39,video
196,core,90.39,90.63,video
197,of,90.63,90.81,video
198,a,90.81,90.89,video
199,star,90.9,90.93,video
200,collapses,90.93,91.71,video
201,its,91.71,91.979,video
202,momentum,91.979,92.729,video
203,makes,92.729,93.0,video
204,it,93.0,93.17,video
205,spin,93.18,93.42,video
206,faster,93.42,93.479,video
207,and,93.479,94.229,video
208,faster,94.229,94.5,video
209,and,94.5,94.95,video
210,faster,94.95,95.01,video
211,until,95.01,95.75,video
212,it,95.76,96.21,video
213,collapses,96.21,96.81,video
214,into,96.81,97.05,video
215,a,97.05,97.229,video
216,black,97.229,97.53,video
217,hole,97.53,97.56,video
218,and,97.56,98.22,video
219,the,98.22,98.78,video
220,black,98.79,98.94,video
221,hole,98.94,99.18,video
222,keeps,99.18,99.54,video
223,on,99.54,99.78,video
224,spinning,99.78,100.05,video
225,in,100.05,100.609,video
226,conceivably,100.619,101.58,video
227,fast,101.58,102.17,video
228,some,102.17,103.17,video
229,of,103.17,103.2,video
230,them,103.2,103.5,video
231,spend,103.5,103.88,video
232,millions,103.89,104.16,video
233,of,104.16,104.46,video
234,times,104.46,104.729,video
235,a,104.729,104.97,video
236,second,104.97,106.16,video
237,Y,106.16,107.16,video
238,spinning,107.16,107.75,video
239,black,107.76,107.97,video
240,holes,107.97,108.27,video
241,are,108.27,108.63,video
242,special,108.63,109.67,video
243,just,109.67,110.67,video
244,like,110.67,110.76,video
245,non,110.76,111.26,video
246,spinning,111.27,111.72,video
247,black,111.72,111.93,video
248,holes,111.93,112.2,video
249,spinning,112.2,112.92,video
250,black,112.92,113.12,video
251,holes,113.13,113.4,video
252,have,113.4,113.7,video
253,an,113.7,113.79,video
254,event,113.79,114.09,video
255,horizon,114.09,114.21,video
256,and,114.21,114.78,video
257,a,114.78,114.92,video
258,singularity,114.93,115.53,video
259,at,115.53,115.95,video
260,their,115.95,116.19,video
261,core,116.19,116.49,video
262,where,116.49,116.91,video
263,all,116.91,117.119,video
264,of,117.119,117.26,video
265,their,117.27,117.42,video
266,mass,117.42,117.66,video
267,is,117.66,117.869,video
268,concentrated,117.869,118.7,video
269,the,118.7,119.69,video
270,singularity,119.7,120.36,video
271,is,120.36,120.54,video
272,usually,120.54,121.14,video
273,described,121.14,121.56,video
274,as,121.56,121.77,video
275,a,121.77,121.82,video
276,single,121.83,122.46,video
277,infinitely,122.46,123.18,video
278,small,123.18,123.48,video
279,point,123.48,123.51,video
280,with,123.51,124.05,video
281,no,124.05,124.07,video
282,surface,124.08,124.68,video
283,area,124.68,124.98,video
284,but,124.98,125.91,video
285,points,125.91,126.45,video
286,can't,126.45,126.78,video
287,rotate,126.78,127.05,video
288,so,127.05,127.79,video
289,a,127.8,127.83,video
290,rotating,127.83,128.67,video
291,singularity,128.67,129.39,video
292,can't,129.39,129.869,video
293,be,129.869,130.019,video
294,a,130.019,130.05,video
295,point,130.05,130.63,video
296,instead,130.64,131.64,video
297,it's,131.64,132.209,video
298,a,132.209,132.51,video
299,regularity,132.51,133.11,video
300,a,133.11,133.88,video
301,regularity,133.88,134.87,video
302,is,134.88,135.269,video
303,a,135.269,135.33,video
304,ring,135.33,135.69,video
305,with,135.69,135.93,video
306,a,135.93,135.959,video
307,thickness,135.959,136.2,video
308,of,136.2,136.5,video
309,zero,136.5,136.83,video
310,and,136.83,137.09,video
311,no,137.1,137.64,video
312,surface,137.64,138.12,video
313,spinning,138.12,138.72,video
314,extremely,138.72,139.47,video
315,fast,139.47,139.729,video
316,containing,139.739,140.67,video
317,all,140.67,140.88,video
318,the,140.88,141.12,video
319,mass,141.12,141.33,video
320,of,141.33,141.63,video
321,the,141.63,141.75,video
322,black,141.75,141.89,video
323,hole,141.9,142.16,video
324,the,142.16,143.16,video
325,black,143.16,143.37,video
326,hole,143.37,143.64,video
327,is,143.64,143.85,video
328,spinning,143.85,144.12,video
329,so,144.12,144.3,video
330,fast,144.3,144.89,video
331,that,144.9,145.38,video
332,it,145.38,145.53,video
333,morphs,145.53,145.98,video
334,space,145.98,146.459,video
335,and,146.459,146.73,video
336,time,146.73,146.97,video
337,itself,146.97,147.18,video
338,it,147.18,147.92,video
339,literally,147.93,148.56,video
340,dragged,148.56,148.95,video
341,space,148.95,149.4,video
342,with,149.4,149.73,video
343,it,149.73,149.88,video
344,such,149.88,150.36,video
345,as,150.36,150.53,video
346,its,150.54,150.69,video
347,power,150.69,151.01,video
348,this,151.01,152.01,video
349,creates,152.01,152.489,video
350,a,152.489,152.73,video
351,new,152.73,153.09,video
352,and,153.09,153.36,video
353,super,153.36,154.07,video
354,weird,154.08,154.38,video
355,region,154.38,154.86,video
356,of,154.86,154.98,video
357,space-time,154.98,155.36,video
358,the,155.36,156.36,video
359,ergo,156.36,156.8,video
360,sphere,156.81,157.14,video
361,which,157.14,157.68,video
362,envelops,157.68,158.37,video
363,for,158.37,158.58,video
364,black,158.58,158.76,video
365,hole,158.76,159.0,video
366,if,159.0,159.34,video
367,space,159.35,160.35,video
368,and,160.35,160.62,video
369,time,160.62,160.83,video
370,are,160.83,161.07,video
371,completely,161.07,161.7,video
372,broken,161.7,161.84,video
373,inside,161.85,162.69,video
374,the,162.69,162.93,video
375,event,162.93,163.17,video
376,horizon,163.17,163.35,video
377,then,163.35,164.16,video
378,they're,164.16,164.42,video
379,only,164.43,164.64,video
380,half,164.64,165.15,video
381,broken,165.15,165.48,video
382,inside,165.48,166.049,video
383,the,166.049,166.23,video
384,ergosphere,166.23,167.199,video
385,inside,167.209,168.209,video
386,the,168.209,168.33,video
387,ergosphere,168.33,168.63,video
388,nothing,168.63,169.47,video
389,makes,169.47,169.67,video
390,sense,169.68,170.01,video
391,it's,170.01,170.88,video
392,possible,170.88,171.48,video
393,to,171.48,171.6,video
394,enter,171.6,171.84,video
395,it,171.84,171.959,video
396,and,171.959,172.08,video
397,then,172.08,172.52,video
398,leave,172.53,172.799,video
399,it,172.799,172.83,video
400,again,172.83,173.16,video
401,but,173.16,173.76,video
402,it's,173.76,173.91,video
403,probably,173.91,174.12,video
404,not,174.12,174.33,video
405,a,174.33,174.47,video
406,great,174.48,174.63,video
407,experience,174.63,175.97,video
408,you,175.98,176.97,video
409,can,176.97,177.09,video
410,imagine,177.09,177.3,video
411,it,177.3,177.569,video
412,like,177.569,177.75,video
413,this,177.75,178.04,video
414,falling,178.04,179.03,video
415,into,179.04,179.31,video
416,a,179.31,179.37,video
417,static,179.37,179.849,video
418,black,179.849,180.06,video
419,hole,180.06,180.33,video
420,is,180.33,180.629,video
421,like,180.629,180.959,video
422,sliding,180.959,181.4,video
423,down,181.41,181.68,video
424,a,181.68,181.709,video
425,hole,181.709,182.3,video
426,being,182.31,183.15,video
427,inside,183.15,183.51,video
428,the,183.51,183.72,video
429,ergosphere,183.72,184.17,video
430,of,184.17,184.65,video
431,a,184.65,184.729,video
432,spinning,184.739,185.16,video
433,black,185.16,185.34,video
434,hole,185.34,185.4,video
435,is,185.4,185.94,video
436,like,185.94,186.209,video
437,spiraling,186.209,186.92,video
438,down,186.93,187.17,video
439,a,187.17,187.2,video
440,deadly,187.2,187.62,video
441,drain,187.62,188.18,video
442,the,188.18,189.18,video
443,black,189.18,189.39,video
444,hole,189.39,189.68,video
445,transfers,189.69,190.349,video
446,its,190.349,190.62,video
447,own,190.62,190.86,video
448,kinetic,190.86,191.37,video
449,energy,191.37,191.67,video
450,in,191.67,191.849,video
451,the,191.849,191.9,video
452,form,191.91,192.3,video
453,of,192.3,192.42,video
454,rotation,192.42,193.14,video
455,to,193.14,193.59,video
456,everything,193.59,194.13,video
457,that,194.13,194.33,video
458,enters,194.34,194.55,video
459,the,194.55,194.91,video
460,ergosphere,194.91,195.41,video
461,the,195.41,196.41,video
462,regularity,196.41,196.91,video
463,makes,196.92,197.489,video
464,you,197.489,197.76,video
465,dance,197.76,198.03,video
466,whether,198.03,198.569,video
467,you,198.569,198.72,video
468,want,198.72,198.93,video
469,to,198.93,199.08,video
470,or,199.08,199.22,video
471,you,199.68,200.34,video
472,need,200.34,200.519,video
473,to,200.519,200.67,video
474,move,200.67,200.849,video
475,faster,200.849,201.36,video
476,than,201.36,201.51,video
477,the,201.51,201.599,video
478,speed,201.599,201.71,video
479,of,201.72,201.84,video
480,light,201.84,202.08,video
481,just,202.08,202.47,video
482,to,202.47,202.59,video
483,standstill,202.59,202.98,video
484,here,202.98,203.37,video
485,which,203.37,203.75,video
486,is,203.76,203.91,video
487,it,203.91,204.03,video
488,possible,204.03,204.53,video
489,but,204.53,205.53,video
490,here's,205.53,205.83,video
491,our,205.83,206.099,video
492,cheat,206.099,206.459,video
493,code,206.459,206.75,video
494,we,206.76,207.39,video
495,can,207.39,207.569,video
496,steal,207.569,207.989,video
497,this,207.989,208.38,video
498,energy,208.38,208.799,video
499,and,208.799,209.25,video
500,there's,209.25,210.0,video
501,a,210.0,210.05,video
502,lot,210.06,210.33,video
503,of,210.33,210.48,video
504,energy,210.48,210.78,video
505,to,210.78,210.93,video
506,steal,210.93,212.09,video
507,how,212.09,213.09,video
508,to,213.09,213.15,video
509,steal,213.15,213.589,video
510,energy,213.599,213.87,video
511,from,213.87,214.319,video
512,a,214.319,214.38,video
513,monster,214.38,215.69,video
514,tape,215.69,216.69,video
515,the,216.69,216.89,video
516,supermassive,216.9,217.44,video
517,black,217.44,217.89,video
518,hole,217.89,218.13,video
519,at,218.13,218.34,video
520,the,218.34,218.43,video
521,center,218.43,219.03,video
522,of,219.03,219.05,video
523,the,219.06,219.269,video
524,Milky,219.269,219.599,video
525,Way,219.599,219.75,video
526,we,219.75,220.62,video
527,could,220.62,220.829,video
528,steal,220.829,221.099,video
529,as,221.099,221.28,video
530,much,221.28,221.539,video
531,energy,221.549,221.849,video
532,from,221.849,222.299,video
533,it,222.299,222.42,video
534,as,222.42,222.69,video
535,every,222.69,223.23,video
536,single,223.23,223.5,video
537,star,223.5,223.92,video
538,in,223.92,224.15,video
539,the,224.16,224.28,video
540,Milky,224.28,224.459,video
541,Way,224.459,224.76,video
542,emits,224.76,225.12,video
543,in,225.12,225.299,video
544,a,225.299,225.45,video
545,billion,225.45,225.75,video
546,years,225.75,226.1,video
547,combined,226.11,226.73,video
548,the,226.73,227.73,video
549,easiest,227.73,228.15,video
550,way,228.15,228.42,video
551,to,228.42,228.45,video
552,steal,228.45,228.87,video
553,this,228.87,229.039,video
554,energy,229.049,229.5,video
555,is,229.5,229.709,video
556,oddly,229.709,230.19,video
557,enough,230.19,230.519,video
558,to,230.519,231.18,video
559,drop,231.18,231.42,video
560,something,231.42,231.77,video
561,into,231.78,232.2,video
562,the,232.2,232.41,video
563,black,232.41,232.59,video
564,hole,232.59,233.0,video
565,we've,233.0,234.0,video
566,seen,234.0,234.299,video
567,that,234.299,234.45,video
568,the,234.45,234.559,video
569,regularity,234.569,235.049,video
570,forces,235.049,235.829,video
571,energy,235.829,236.25,video
572,on,236.25,236.4,video
573,us,236.4,236.549,video
574,when,236.549,236.79,video
575,we,236.79,236.809,video
576,enter,236.819,236.91,video
577,the,236.91,237.329,video
578,ergosphere,237.329,237.949,video
579,which,237.959,238.41,video
580,is,238.41,238.56,video
581,a,238.56,238.59,video
582,lot,238.59,238.799,video
583,like,238.799,239.01,video
584,being,239.01,239.04,video
585,in,239.04,239.489,video
586,a,239.489,239.549,video
587,whirlpool,239.549,239.809,video
588,with,239.819,240.45,video
589,space-time,240.45,241.079,video
590,rushing,241.079,241.65,video
591,around,241.65,241.98,video
592,and,241.98,242.15,video
593,around,242.16,242.25,video
594,if,242.25,242.819,video
595,you're,242.819,243.63,video
596,clever,243.63,243.959,video
597,you,243.959,244.41,video
598,can,244.41,244.44,video
599,use,244.44,244.799,video
600,the,244.799,245.0,video
601,water,245.01,245.22,video
602,to,245.22,245.4,video
603,your,245.4,245.7,video
604,advantage,245.7,246.06,video
605,and,246.06,246.42,video
606,swim,246.42,247.049,video
607,faster,247.049,247.759,video
608,than,247.769,247.799,video
609,before,247.799,249.22,video
610,in,249.23,249.349,video
611,practice,249.349,250.28,video
612,this,250.28,250.7,video
613,means,250.7,250.97,video
614,sending,250.97,251.66,video
615,a,251.66,251.72,video
616,rocket,251.72,251.89,video
617,into,251.9,252.349,video
618,the,252.349,252.44,video
619,other,252.44,252.59,video
620,sphere,252.59,252.98,video
621,and,252.98,253.19,video
622,making,253.19,253.7,video
623,a,253.7,253.79,video
624,trade,253.79,254.08,video
625,with,254.09,254.3,video
626,the,254.3,254.33,video
627,black,254.33,254.569,video
628,hole,254.569,254.81,video
629,we,254.81,255.8,video
630,give,255.8,256.01,video
631,it,256.01,256.13,video
632,some,256.13,256.4,video
633,mass,256.4,256.69,video
634,energy,256.7,257.209,video
635,and,257.209,257.389,video
636,it,257.389,257.84,video
637,gives,257.84,258.2,video
638,us,258.2,258.38,video
639,some,258.38,258.59,video
640,of,258.59,258.709,video
641,its,258.709,258.849,video
642,rotational,258.859,259.519,video
643,energy,259.519,259.91,video
644,but,259.91,260.69,video
645,it's,260.69,260.81,video
646,not,260.81,260.989,video
647,a,260.989,261.019,video
648,fair,261.019,261.34,video
649,trade,261.35,261.68,video
650,we,261.68,262.31,video
651,get,262.31,262.73,video
652,the,262.73,262.88,video
653,better,262.88,263.03,video
654,deal,263.03,264.01,video
655,normally,264.01,265.01,video
656,if,265.01,265.24,video
657,you,265.25,265.55,video
658,fire,265.55,265.79,video
659,a,265.79,265.82,video
660,rocket,265.82,266.27,video
661,you,266.27,266.84,video
662,exchange,266.84,267.35,video
663,chemical,267.35,268.03,video
664,energy,268.04,268.19,video
665,for,268.19,268.91,video
666,kinetic,268.91,269.51,video
667,energy,269.51,270.22,video
668,this,270.22,271.22,video
669,is,271.22,271.43,video
670,like,271.43,271.629,video
671,pushing,271.639,271.88,video
672,yourself,271.88,272.479,video
673,forward,272.479,272.54,video
674,in,272.54,273.02,video
675,a,273.02,273.139,video
676,swimming,273.139,273.4,video
677,pool,273.41,273.68,video
678,but,273.68,274.12,video
679,if,274.12,275.12,video
680,you,275.12,275.27,video
681,fire,275.27,275.57,video
682,a,275.57,275.6,video
683,rocket,275.6,275.87,video
684,inside,275.87,276.35,video
685,the,276.35,276.52,video
686,ergosphere,276.53,276.889,video
687,it's,276.889,277.49,video
688,like,277.49,277.79,video
689,pushing,277.79,278.21,video
690,yourself,278.21,278.59,video
691,forward,278.6,278.69,video
692,in,278.69,279.05,video
693,a,279.05,279.139,video
694,wave,279.139,279.38,video
695,form,279.38,279.71,video
696,the,279.71,280.669,video
697,rotational,280.669,281.26,video
698,energy,281.27,281.45,video
699,of,281.45,281.72,video
700,the,281.72,281.93,video
701,waves,281.93,282.139,video
702,gives,282.139,282.59,video
703,you,282.59,282.74,video
704,a,282.74,282.77,video
705,much,282.77,283.18,video
706,stronger,283.19,283.669,video
707,boost,283.669,284.03,video
708,than,284.03,284.36,video
709,you,284.36,284.51,video
710,could,284.51,284.66,video
711,get,284.66,284.84,video
712,just,284.84,285.19,video
713,by,285.2,285.38,video
714,pushing,285.38,285.62,video
715,yourself,285.62,286.6,video
716,the,286.6,287.6,video
717,boost,287.6,287.84,video
718,from,287.84,288.11,video
719,the,288.11,288.25,video
720,rotation,288.26,288.77,video
721,of,288.77,288.83,video
722,the,288.83,288.95,video
723,back,288.95,289.07,video
724,hole,289.07,289.34,video
725,is,289.34,289.55,video
726,so,289.55,290.09,video
727,big,290.09,290.419,video
728,that,290.419,290.95,video
729,you,290.96,290.99,video
730,leave,290.99,291.35,video
731,the,291.35,291.59,video
732,ergosphere,291.59,291.95,video
733,with,291.95,292.49,video
734,much,292.49,292.76,video
735,more,292.76,292.99,video
736,energy,293.0,293.18,video
737,than,293.18,293.66,video
738,you,293.66,293.72,video
739,entered,293.72,294.11,video
740,it,294.11,294.31,video
741,the,294.31,295.31,video
742,black,295.31,295.51,video
743,hole,295.52,295.82,video
744,gives,295.82,296.15,video
745,a,296.15,296.27,video
746,tiny,296.27,296.51,video
747,amount,296.51,296.78,video
748,of,296.78,297.02,video
749,its,297.02,297.129,video
750,rotational,297.139,297.74,video
751,energy,297.74,298.07,video
752,to,298.07,298.25,video
753,you,298.25,298.43,video
754,and,298.43,298.669,video
755,slows,298.669,299.12,video
756,down,299.12,299.409,video
757,a,299.419,299.45,video
